CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,placed,Score,company_offer,skills
8.9,0,3,2,90,4.0,1,1,78,82,1,87,12,"python, expressjs, problem-solving, mongodb, oracle cloud"
7.5,1,1,2,85,4.4,1,1,81,80,1,84,14,"c++, javascript, teamwork, nosql, google cloud"
8.3,1,2,2,86,4.5,1,1,74,88,1,88,10,"java, nodejs, problem-solving, flask, ibm cloud"
7.8,1,3,2,79,4.4,1,1,85,86,1,86,6,"c++, css, communication, sql, azure"
8.3,2,3,2,90,4.8,1,1,82,88,1,93,2,"c, reactjs, problem-solving, oracle, google cloud"
7.9,1,3,2,90,4.8,1,1,71,87,1,90,9,"java, nodejs, communication, django, ibm cloud"
8.3,2,3,2,90,4.5,1,1,84,83,1,91,1,"python, javascript, problem-solving, mysql, aws"
8.6,0,3,0,84,4.8,1,1,62,78,1,87,9,"c, nodejs, teamwork, mysql, ibm cloud"
8.2,2,3,2,90,4.7,1,1,84,86,1,92,2,"java, nodejs, leadership, django, azure"
6.8,2,3,0,73,4.4,1,1,72,82,1,81,13,"python, angular, problem-solving, flask, ibm cloud"
7.6,2,1,0,84,4.4,0,1,77,75,1,84,13,"java, html, teamwork, django, google cloud"
7.4,1,2,1,72,3.5,0,1,82,69,1,75,27,"ruby, javascript, problem-solving, sql, google cloud"
7.7,0,1,0,77,3.4,0,1,55,72,1,72,25,"c, html, problem-solving, mysql, ibm cloud"
8.4,2,3,2,90,4.6,1,1,55,80,1,88,9,"javascript, reactJs, leadership, mysql, ibm cloud"
8.5,1,3,0,90,4.8,1,1,85,85,1,93,3,"c++, reactJs, teamwork, flask, aws"
8.6,1,2,2,75,4.3,1,1,62,80,1,82,15,"ruby, reactjs, leadership, mongodb, aws"
6.9,0,1,0,70,3.9,0,1,79,68,1,73,26,"c++, nodejs, problem-solving, nosql, azure"
8.3,1,2,2,89,4.8,1,1,75,81,1,89,7,"python, reactjs, problem-solving, oracle, aws"
8.2,1,2,2,77,4.2,0,1,72,72,1,81,14,"ruby, html, communication, postgresql, ibm cloud"
8.5,2,3,3,90,4.7,1,1,79,86,1,92,5,"ruby, javascript, problem-solving, nosql, ibm cloud"
6.7,0,3,2,88,4.2,1,1,72,86,1,82,18,"ruby, expressjs, problem-solving, django, ibm cloud"
8.6,2,3,1,90,4.8,1,1,63,84,1,91,2,"python, html, problem-solving, oracle, aws"
8.3,2,3,2,85,4.8,1,1,77,83,1,91,1,"ruby, nodejs, teamwork, flask, azure"
8.6,2,3,2,88,4.7,1,1,80,87,1,92,4,"c, reactjs, problem-solving, mysql, azure"
6.7,1,1,2,73,4.5,0,0,55,66,1,74,22,"java, reactJs, problem-solving, sql, ibm cloud"
8.1,1,3,2,90,4.6,1,1,77,87,1,90,7,"c, reactjs, communication, mysql, ibm cloud"
8.1,2,3,2,90,4.7,1,1,82,82,1,91,2,"java, reactjs, leadership, postgresql, oracle cloud"
8.8,2,3,2,90,4.8,1,1,86,88,1,95,1,"c, reactJs, communication, mongodb, google cloud"
8.4,2,2,2,81,4.6,1,1,77,82,1,88,6,"javascript, html, communication, django, aws"
6.6,0,1,0,76,3.9,0,1,78,69,1,74,21,"c++, javascript, teamwork, postgresql, oracle cloud"
8.2,1,2,1,86,4.3,1,1,86,63,1,85,20,"java, reactJs, teamwork, sql, oracle cloud"
8.0,0,3,0,68,4.2,1,0,64,83,1,79,32,"java, nodejs, leadership, mysql, aws"
7.7,1,1,0,74,4.1,0,1,57,68,1,75,23,"c++, html, teamwork, django, aws"
8.1,2,3,2,90,4.8,1,1,80,86,1,92,5,"c, html, problem-solving, mysql, azure"
8.1,1,3,1,90,4.6,1,1,73,86,1,89,12,"python, css, problem-solving, oracle, oracle cloud"
8.2,1,3,0,83,4.8,1,1,71,84,1,88,12,"javascript, html, teamwork, postgresql, ibm cloud"
6.7,1,2,1,74,4.8,1,1,72,64,1,79,24,"python, css, leadership, django, google cloud"
8.3,2,3,1,90,4.2,1,1,82,83,1,89,6,"java, angular, leadership, mongodb, ibm cloud"
7.6,0,2,0,86,4.8,1,1,57,72,1,82,18,"c, reactJs, problem-solving, postgresql, azure"
8.5,1,2,2,79,3.9,1,1,76,66,1,81,13,"ruby, reactJs, teamwork, django, aws"
8.8,1,3,0,76,4.7,1,1,75,84,1,88,6,"c++, html, problem-solving, sql, google cloud"
8.1,1,3,2,89,4.6,1,1,86,80,1,90,8,"c, html, teamwork, django, azure"
7.8,2,2,2,90,4.8,1,0,81,82,1,90,6,"java, angular, leadership, mysql, aws"
7.7,1,3,1,89,4.6,0,1,61,84,1,86,8,"java, html, communication, postgresql, aws"
8.5,2,3,2,90,4.8,1,1,72,87,1,92,3,"python, reactjs, problem-solving, django, oracle cloud"
8.1,1,3,2,90,4.8,1,1,79,84,1,91,2,"c, css, communication, nosql, google cloud"
8.7,2,3,2,90,4.8,1,1,79,85,1,93,4,"c++, nodejs, problem-solving, mysql, azure"
8.6,2,3,0,81,4.7,1,0,71,83,1,89,12,"python, angular, leadership, nosql, oracle cloud"
8.8,1,3,2,90,4.6,1,1,83,83,1,92,1,"javascript, javascript, communication, mysql, ibm cloud"
8.7,2,3,2,81,4.7,1,1,85,79,1,91,4,"ruby, html, problem-solving, mysql, google cloud"
